asset_name,license_type,commercial_use,confidence,detection_source,license_file
sherpa-onnx-qnn-QCS9100-binary-1-seconds-zipformer-ctc-zh-2025-07-03-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-1-seconds-zipformer-ctc-zh-2025-12-22-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-10-seconds-paraformer-zh-2023-03-28-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-10-seconds-paraformer-zh-2025-10-07-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-10-seconds-sense-voice-zh-en-ja-ko-yue-2024-07-17-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-10-seconds-sense-voice-zh-en-ja-ko-yue-2025-09-09-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-10-seconds-zipformer-ctc-zh-2025-07-03-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-10-seconds-zipformer-ctc-zh-2025-12-22-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-13-seconds-paraformer-zh-2023-03-28-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-13-seconds-paraformer-zh-2025-10-07-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-13-seconds-sense-voice-zh-en-ja-ko-yue-2024-07-17-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-13-seconds-sense-voice-zh-en-ja-ko-yue-2025-09-09-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-13-seconds-zipformer-ctc-zh-2025-07-03-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-15-seconds-paraformer-zh-2023-03-28-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-15-seconds-paraformer-zh-2025-10-07-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-15-seconds-sense-voice-zh-en-ja-ko-yue-2024-07-17-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-15-seconds-sense-voice-zh-en-ja-ko-yue-2025-09-09-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-15-seconds-zipformer-ctc-zh-2025-07-03-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-18-seconds-paraformer-zh-2023-03-28-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-18-seconds-paraformer-zh-2025-10-07-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-18-seconds-sense-voice-zh-en-ja-ko-yue-2024-07-17-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-18-seconds-sense-voice-zh-en-ja-ko-yue-2025-09-09-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-18-seconds-zipformer-ctc-zh-2025-07-03-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-2-seconds-zipformer-ctc-zh-2025-07-03-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-2-seconds-zipformer-ctc-zh-2025-12-22-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-20-seconds-paraformer-zh-2023-03-28-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-20-seconds-paraformer-zh-2025-10-07-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-20-seconds-sense-voice-zh-en-ja-ko-yue-2024-07-17-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-20-seconds-sense-voice-zh-en-ja-ko-yue-2025-09-09-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-20-seconds-zipformer-ctc-zh-2025-07-03-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-23-seconds-paraformer-zh-2023-03-28-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-23-seconds-paraformer-zh-2025-10-07-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-23-seconds-sense-voice-zh-en-ja-ko-yue-2024-07-17-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-23-seconds-sense-voice-zh-en-ja-ko-yue-2025-09-09-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-23-seconds-zipformer-ctc-zh-2025-07-03-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-25-seconds-paraformer-zh-2023-03-28-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-25-seconds-paraformer-zh-2025-10-07-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-25-seconds-sense-voice-zh-en-ja-ko-yue-2024-07-17-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-25-seconds-sense-voice-zh-en-ja-ko-yue-2025-09-09-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-25-seconds-zipformer-ctc-zh-2025-07-03-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-28-seconds-paraformer-zh-2023-03-28-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-28-seconds-paraformer-zh-2025-10-07-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-28-seconds-sense-voice-zh-en-ja-ko-yue-2024-07-17-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-28-seconds-sense-voice-zh-en-ja-ko-yue-2025-09-09-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-QCS9100-binary-28-seconds-zipformer-ctc-zh-2025-07-03-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
