asset_name,license_type,commercial_use,confidence,detection_source,license_file
sherpa-onnx-ced-base-audio-tagging-2024-04-19.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/mispeech/ced-base
sherpa-onnx-ced-mini-audio-tagging-2024-04-19.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/mispeech/ced-mini
sherpa-onnx-ced-small-audio-tagging-2024-04-19.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/mispeech/ced-small
sherpa-onnx-ced-tiny-audio-tagging-2024-04-19.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/mispeech/ced-tiny
sherpa-onnx-zipformer-audio-tagging-2024-04-09.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/k2-fsa/sherpa-onnx-zipformer-audio-tagging-2024-04-09
sherpa-onnx-zipformer-small-audio-tagging-2024-04-15.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/k2-fsa/sherpa-onnx-zipformer-small-audio-tagging-2024-04-15
