asset_name,license_type,commercial_use,confidence,detection_source,license_file
sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01-mobile.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-kws-zipformer-wenetspeech-3.3M-2024-01-01-mobile.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-kws-zipformer-wenetspeech-3.3M-2024-01-01.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-kws-zipformer-zh-en-3M-2025-12-20.tar.bz2,exhausted,unknown,high,scan_exhausted,
